,name,lat,lon,date
40465,epic_1b_20150717190104,15.0,-94.0,2015-07-17
40460,epic_1b_20150721202044,13.0,-114.0,2015-07-21
40452,epic_1b_20150722130830,13.0,-6.0,2015-07-22
40457,epic_1b_20150722235649,13.0,-168.0,2015-07-22
40418,epic_1b_20150803143256,9.0,-30.0,2015-08-03
40395,epic_1b_20150806035937,8.0,128.0,2015-08-06
40369,epic_1b_20150808022132,8.0,152.0,2015-08-08
40370,epic_1b_20150808040936,8.0,125.0,2015-08-08
40375,epic_1b_20150808130950,8.0,-11.0,2015-08-08
40356,epic_1b_20150809003829,8.0,177.0,2015-08-09
40355,epic_1b_20150810214505,7.0,-140.0,2015-08-10
40338,epic_1b_20150811001329,7.0,-177.0,2015-08-11
40348,epic_1b_20150811181359,7.0,-88.0,2015-08-11
40347,epic_1b_20150811162556,7.0,-61.0,2015-08-11
40324,epic_1b_20150818201703,5.0,-121.0,2015-08-18
40312,epic_1b_20150820221505,5.0,-151.0,2015-08-20
40311,epic_1b_20150820202701,5.0,-124.0,2015-08-20
40310,epic_1b_20150820183858,5.0,-97.0,2015-08-20
40293,epic_1b_20150824002329,4.0,176.0,2015-08-24
40294,epic_1b_20150824021133,4.0,149.0,2015-08-24
40295,epic_1b_20150824035936,4.0,122.0,2015-08-24
40297,epic_1b_20150824073542,4.0,68.0,2015-08-24
40300,epic_1b_20150824125952,4.0,-13.0,2015-08-24
40301,epic_1b_20150824144755,4.0,-40.0,2015-08-24
40303,epic_1b_20150824182402,4.0,-94.0,2015-08-24
40282,epic_1b_20150825054510,4.0,95.0,2015-08-25
40290,epic_1b_20150825195610,4.0,-118.0,2015-08-25
40269,epic_1b_20150826133246,4.0,-22.0,2015-08-26
40278,epic_1b_20150826232156,4.0,-170.0,2015-08-26
40277,epic_1b_20150826221628,4.0,-153.0,2015-08-26
40275,epic_1b_20150826200533,4.0,-121.0,2015-08-26
40273,epic_1b_20150826175437,4.0,-88.0,2015-08-26
40272,epic_1b_20150826164909,4.0,-71.0,2015-08-26
40244,epic_1b_20150827092014,4.0,41.0,2015-08-27
40236,epic_1b_20150827003632,4.0,172.0,2015-08-27
40241,epic_1b_20150827060351,4.0,90.0,2015-08-27
40257,epic_1b_20150827233118,4.0,-172.0,2015-08-27
